customer_number,stage_grouped,max_closed_date,cloud_revenue,total_opp_amount,employees,mk_fit_score,industry,ee_count,contacts_count,non_ee_count,emb_world_attendees,email_clicks,a365_new_wb_visits,a365_rest_wb_visits,total_webinars_attended,total_webinar_attendees,assembly_app_events,assembly_app_days_used,comms_events,comms_days_used,libs_events,libs_days_used,manufacturing_events,manufacturing_days_used,mcad_events,mcad_days_used,multi_cad_events,multi_cad_days_used,part_request_events,part_request_days_used,share_events,share_days_used,tasks_events,tasks_days_used,version_control_events,version_control_days_used,web_review_events,web_review_days_used
1407550,won,9/10/2024,11704.5,11704.5,14,38,Industrial/Instrumentation,18,669,136,0,66,10,78,5,5,0,0,1647,100,45303,159,0,0,700,19,0,0,5,5,18,9,1098,90,26470,159,21146,160
1346800,lost,9/27/2024,999,999,2,0,Service Bureau / Engineering Services,5,24,10,0,1,0,3,0,0,1,1,0,0,327,5,0,0,0,0,0,0,0,0,0,0,0,0,149,37,185,14
1660096,won,8/30/2024,0,70425,20,0,Service Bureau / Engineering Services,10,25,8,0,28,18,0,2,2,19,5,0,0,2425,130,0,0,6,4,0,0,3,2,10,5,0,0,8343,154,2758,100
1302401,lost,8/13/2024,0,37960,0,0,Medical Device,5,13,6,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1822850,won,8/26/2024,38320,38320,89,0,Industrial/Instrumentation,1,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639591,won,8/27/2024,0,37960,250,0,Component OEM,9,41,12,0,41,13,110,0,0,0,0,0,0,14,2,0,0,1,1,0,0,2,2,0,0,0,0,0,0,16,3
1853201,lost,8/30/2023,15000,15000,0,0,Industrial/Instrumentation,0,0,0,0,2,0,29,0,0,0,0,0,0,993,56,0,0,11,4,0,0,7,4,0,0,0,0,30,3,16,8
1170700,lost,10/1/2024,0,28511.99,0,0,Service Bureau / Engineering Services,3,20,8,0,5,0,15,0,0,3,3,38,5,14,10,265,32,89,13,0,0,0,0,65,23,0,0,3526,133,2620,84
1838794,lost,8/10/2024,999,999,0,0,Service Bureau / Engineering Services,0,1,1,0,1,0,2,0,0,13,3,199,49,1913,95,22,13,0,0,0,0,0,0,46,22,159,46,3453,155,6809,155
625335,won,10/21/2024,2373.83,2373.84,0,0,Industrial Manufacturing and Services,4,24,5,0,1,0,27,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,1
1781649,lost,1/2/2024,5000,5000,0,0,Medical Device,6,35,13,0,49,10,62,0,0,5,5,3,2,267,26,3,3,417,24,0,0,9,8,25,10,7,3,813,70,3558,120
1863344,lost,8/21/2024,6299,6299,0,0,Communications,0,0,0,0,6,0,0,1,1,0,0,35,9,1341,65,0,0,540,49,0,0,2,2,4,3,17,7,3537,158,418,38
1787569,lost,1/4/2024,5224.99,5224.99,0,0,Service Bureau / Engineering Services,9,22,7,0,3,0,4,0,0,48,5,2,1,238,20,9,5,1036,27,0,0,0,0,14,5,0,0,1170,75,791,38
1801027,won,9/27/2024,10349.1,10349.1,0,77,Communications,11,28,11,0,8,5,23,2,3,3,2,201,32,3253,133,2,2,1675,53,28,15,85,22,20,11,0,0,11843,151,6041,125
1742269,lost,10/17/2024,13081.5,13081.5,32,14,Service Bureau / Engineering Services,13,45,17,0,50,0,165,11,11,10,9,862,114,8063,148,2,2,502,33,0,0,0,0,128,55,0,0,10161,156,66263,166
